"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorLandscapeResources/LandscapeDirtyMaterial.LandscapeDirtyMaterial","49","5","5","1","5.301105","0","5"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","14","14","1","14.002465","0","14"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","31","31","1","0.000000","0","31"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","7","8","1","4.314178","0","8"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","4","4","1","2.062446","0","4"
"/Game/InteractionSystem/Assets/Materials/Master/M_Glow.M_Glow","49","4","4","1","0.000000","0","4"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","14","14","1","8.351654","0","14"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","49","82","82","1","115.400002","0","82"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","7","8","1","3.421565","0","8"
"/Engine/EditorMeshes/ColorCalibrator/M_ChromeBall.M_ChromeBall","49","35","35","1","20.316309","0","35"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","49","266","276","6","243.110626","0","276"
"/Game/Neo/NeoMat/matWireframe.matWireframe","49","27","28","1","14.528352","0","28"
"/Game/Neo/NeoMat/matField.matField","49","20","20","1","10.418658","0","20"
"/Engine/VREditor/TransformGizmo/Main.Main","49","5","5","1","1.409387","0","5"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","5","5","1","0.598417","0","5"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","5","5","1","1.367318","0","5"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","49","230","240","6","491.166809","0","240"
"/Game/InteractionSystem/Assets/Materials/Master/M_Basic.M_Basic","49","82","82","1","95.624298","0","82"
